"cod_cent";"id";"nombre";"tipo_elem";"st_x";"st_y"
"18RU04PM01";1045;"18RU04PM01";"M-30";438938.704740235;4474738.91228223
"PM13221";7013;"PM13221";"M-30";443117.641352937;4482010.66266962
"PM13222";7014;"PM13222";"M-30";443124.602093482;4482009.58638139
"PM30001";3521;"PM30001";"M-30";443265.527376804;4482822.83874967
"PM30002";6712;"PM30002";"M-30";443273.738098266;4482816.65585112
"PM20021";6713;"PM20021";"M-30";443014.210752484;4481671.56830778
"PM20025";3821;"PM20025";"M-30";443034.511416918;4481681.45835702
"PM20026";3822;"PM20026";"M-30";443022.860482011;4481670.60101342
"03FL08PM01";1047;"03FL08PM01";"M-30";438955.735821648;4474781.95005402
"03FL08PM02";1046;"03FL08PM02";"M-30";438952.618884673;4474735.6735301
"03FL20PM01";6836;"03FL20PM01";"M-30";438913.098958216;4474617.18559301
"03FL56PM01";1010;"03FL56PM01";"M-30";438597.137935133;4474425.27587892
"03FT08PM01";1044;"03FT08PM01";"M-30";438963.314634858;4474734.4416665
"04FT74PM01";1006;"04FT74PM01";"M-30";437636.030760705;4473942.74108358
"04TL40PM03";6901;"04TL40PM03";"M-30";444708.020162943;4473029.98758226
"14RC10PM01";1028;"14RC10PM01";"M-30";440244.63022687;4472215.01534991
"14RE35PM01";1030;"14RE35PM01";"M-30";440172.461387047;4472098.25714178
"14RH25PM01";1029;"14RH25PM01";"M-30";440113.17647312;4472192.38127472
"14RL11PM01";6867;"14RL11PM01";"M-30";440218.763618912;4471983.90169035
"14RL30PM01";1024;"14RL30PM01";"M-30";440316.594335128;4471953.24318121
"14RM32PM01";1026;"14RM32PM01";"M-30";440495.230118295;4472043.11767954
"14RN01PM01";1023;"14RN01PM01";"M-30";440203.88451686;4471978.60949432
"14RN27PM01";7120;"14RN27PM01";"M-30";440110.696711188;4471830.85812105
"17NC04PM01";6842;"17NC04PM01";"M-30";438878.241326861;4473444.40442026
"17NC80PM01";6839;"17NC80PM01";"M-30";438825.049733002;4474298.04420723
"17RA10PM01";1038;"17RA10PM01";"M-30";438904.053340029;4473674.8228202
"17RC01PM01";1041;"17RC01PM01";"M-30";438781.528020207;4473784.40119589
"17XC08PM01";6843;"17XC08PM01";"M-30";438806.131058097;4473442.21080135
"17XC49PM01";6841;"17XC49PM01";"M-30";438752.648922605;4473910.15321583
"PM10907";6671;"PM10907";"M-30";443659.509528759;4473294.99511123
"PM10343";6652;"PM10343";"M-30";443850.657410969;4478619.48806014
"PM10344";6653;"PM10344";"M-30";443844.100355445;4478619.12662456
"PM10401";6654;"PM10401";"M-30";443915.133461558;4478105.10344904
"PM10402";6655;"PM10402";"M-30";443893.209998852;4478101.33076576
"PM10441";6656;"PM10441";"M-30";444027.812365291;4477642.86693642
"PM10442";6657;"PM10442";"M-30";444007.951219971;4477641.27509396
"PM10448";10264;"PM10448";"M-30";443977.889300905;4477625.53450341
"PM10444";6659;"PM10444";"M-30";444014.48082293;4477641.45038455
"PM10446";6660;"PM10446";"M-30";444007.08677102;4477583.41013516
"PM10472";10265;"PM10472";"M-30";444072.069405079;4477486.78391716
"PM10142";6645;"PM10142";"M-30";443156.723023433;4480441.54691158
"PM10211";6646;"PM10211";"M-30";443442.357038003;4479953.36289444
"PM10212";6647;"PM10212";"M-30";443424.663836859;4479948.90198621
"PM10241";6648;"PM10241";"M-30";443582.145098841;4479608.7972487
"PM10242";6649;"PM10242";"M-30";443562.461303858;4479604.788042
"PM10341";6650;"PM10341";"M-30";443857.088832497;4478625.66980436
"PM10342";6651;"PM10342";"M-30";443831.807715981;4478613.97810544
